ENSMUST00000000001	Gnai3__chr3
ENSMUST00000002925	Timmdc1__chr16
ENSMUST00000002926	Pla1a__chr16
ENSMUST00000002964	Adgre5__chr8
ENSMUST00000002976	Il17ra__chr6
ENSMUST00000002979	Lamb1__chr12
ENSMUST00000002989	Arrdc2__chr8
ENSMUST00000003017	Tbxas1__chr6
ENSMUST00000003027	Map2k7__chr8
ENSMUST00000003029	Timm44__chr8
ENSMUST00000003035	Disp1__chr1
ENSMUST00000003038	Ap2a2__chr7
ENSMUST00000003044	Pnkp__chr7
ENSMUST00000003049	Med25__chr7
ENSMUST00000003061	Bcam__chr7
ENSMUST00000003066	Apoe__chr7
ENSMUST00000003071	Apoc4__chr7
ENSMUST00000003074	Apoc2__chr7
ENSMUST00000003079	Prkar2b__chr12
ENSMUST00000003100	Cyp2f2__chr7
ENSMUST00000003115	Cdkn1b__chr6
ENSMUST00000003117	Ap1m1__chr8
ENSMUST00000003121	Rab8a__chr8
ENSMUST00000003123	Fam32a__chr8
ENSMUST00000003135	Elf3__chr1
ENSMUST00000003137	Cyp2c29__chr19
ENSMUST00000003152	Stk11__chr10
ENSMUST00000003154	Efna2__chr10
ENSMUST00000003156	Atp5d__chr10
ENSMUST00000003183	Ppp5c__chr7
ENSMUST00000003191	Prkd3__chr17
ENSMUST00000003203	Cdk12__chr11
ENSMUST00000003207	Lipe__chr7
ENSMUST00000003219	Cnot11__chr1
ENSMUST00000003238	Foxj2__chr6
ENSMUST00000003245	Sri__chr5
ENSMUST00000003268	Sh3gl1__chr17
ENSMUST00000003274	Ebi3__chr17
ENSMUST00000003284	Irf3__chr7
ENSMUST00000003290	Bcl2l12__chr7
ENSMUST00000003310	Ranbp2__chr10
ENSMUST00000003312	Edar__chr10
ENSMUST00000003313	Grk5__chr19
ENSMUST00000003318	Dvl3__chr16
ENSMUST00000003319	Abcf3__chr16
ENSMUST00000003320	Eif2b5__chr16
ENSMUST00000003345	Amph__chr13
ENSMUST00000003351	Grin2c__chr11
ENSMUST00000003360	Car11__chr7
ENSMUST00000003369	Plag1__chr4
ENSMUST00000003370	Hck__chr2
ENSMUST00000003386	Mrpl4__chr9
ENSMUST00000003395	Pde4a__chr9
ENSMUST00000003397	Ap1m2__chr9
ENSMUST00000003404	Glg1__chr8
ENSMUST00000003413	Cyp4f39__chr17
ENSMUST00000003416	Cyp4f16__chr17
ENSMUST00000003433	Mknk2__chr10
ENSMUST00000003434	Btbd2__chr10
ENSMUST00000003436	Abhd17a__chr10
ENSMUST00000003438	Mob3a__chr10
ENSMUST00000003442	Cacnb3__chr15
ENSMUST00000003444	Ccdc65__chr15
ENSMUST00000003445	Fkbp11__chr15
ENSMUST00000003450	Ddx23__chr15
ENSMUST00000003451	Rnd1__chr15
ENSMUST00000003459	Myo1g__chr11
ENSMUST00000003461	Ogdh__chr11
ENSMUST00000003468	Grik5__chr7
ENSMUST00000003469	Cd79a__chr7
ENSMUST00000003493	Prkcsh__chr9
ENSMUST00000003501	Elavl3__chr9
ENSMUST00000003502	Rab3b__chr4
ENSMUST00000003509	St8sia6__chr2
ENSMUST00000003512	Fcgrt__chr7
ENSMUST00000003513	Nosip__chr7
ENSMUST00000003521	Rps11__chr7
ENSMUST00000003527	Supt5__chr7
ENSMUST00000003529	Paf1__chr7
ENSMUST00000003536	Med29__chr7
ENSMUST00000003544	Bicd1__chr6
ENSMUST00000003550	Ncstn__chr1
ENSMUST00000003554	Casq1__chr1
ENSMUST00000003561	Phyhip__chr14
ENSMUST00000003568	Crhr2__chr6
ENSMUST00000003569	Inmt__chr6
ENSMUST00000003572	Gars__chr6
ENSMUST00000003574	Cyp4f18__chr8
ENSMUST00000003575	Tpm4__chr8
ENSMUST00000003597	Psg18__chr7
ENSMUST00000003599	Pcdhgb6__chr18
ENSMUST00000003612	Dusp3__chr11
ENSMUST00000003620	Prodh__chr16
ENSMUST00000003621	Dgcr14__chr16
ENSMUST00000003622	Slc25a1__chr16
ENSMUST00000003628	Ddr1__chr17
ENSMUST00000003635	Ier3__chr17
ENSMUST00000003640	Fosb__chr7
ENSMUST00000003642	Klc4__chr17
ENSMUST00000003643	Ckm__chr7
ENSMUST00000003645	Ercc1__chr7
ENSMUST00000003655	As3mt__chr19
ENSMUST00000003659	Comp__chr8
ENSMUST00000003669	Homer3__chr8
ENSMUST00000003677	Rnf215__chr11
ENSMUST00000003681	Sec14l2__chr11
ENSMUST00000003687	Tgfb3__chr12
ENSMUST00000003705	Aven__chr2
ENSMUST00000003710	Aak1__chr6
ENSMUST00000003714	Cp__chr3
ENSMUST00000003717	Abcb4__chr5
ENSMUST00000003720	Crot__chr5
ENSMUST00000003726	Brd4__chr17
ENSMUST00000003741	Rps6ka1__chr4
ENSMUST00000003754	Calb2__chr8
ENSMUST00000003759	Ciao1__chr2
ENSMUST00000003762	Has1__chr17
ENSMUST00000003777	Taf6l__chr19
ENSMUST00000003808	Gdf15__chr8
ENSMUST00000003818	Insig2__chr1
ENSMUST00000003826	Htr3a__chr9
ENSMUST00000003828	Kpna6__chr4
ENSMUST00000003843	Man1a__chr10
ENSMUST00000003850	Itpkc__chr7
ENSMUST00000003857	Shkbp1__chr7
ENSMUST00000003860	Adck4__chr7
ENSMUST00000003870	Mxi1__chr19
ENSMUST00000003876	Brd8__chr18
ENSMUST00000003898	Ece2__chr16
ENSMUST00000003906	Farsa__chr8
ENSMUST00000003907	Gcdh__chr8
ENSMUST00000003908	Mast2__chr4
ENSMUST00000003910	Dnase2a__chr8
ENSMUST00000003911	Rad23a__chr8
ENSMUST00000003912	Calr__chr8
ENSMUST00000003922	Syce2__chr8
ENSMUST00000003946	Nob1__chr8
ENSMUST00000003947	Nqo1__chr8
ENSMUST00000003961	Ppfia3__chr7
ENSMUST00000003964	Gys1__chr7
ENSMUST00000003971	Lin7b__chr7
ENSMUST00000003981	Il7r__chr15
ENSMUST00000004036	Efnb3__chr11
ENSMUST00000004050	Mmd__chr11
ENSMUST00000004051	Hlf__chr11
ENSMUST00000004054	Kpna1__chr16
ENSMUST00000004055	Dzip1__chr14
ENSMUST00000004057	Fam162a__chr16
ENSMUST00000004072	Rpl8__chr15
ENSMUST00000004076	Grm3__chr5
ENSMUST00000004094	Ssbp2__chr13
ENSMUST00000004097	Cux1__chr5
ENSMUST00000004120	Fancl__chr11
ENSMUST00000004133	Brinp2__chr1
ENSMUST00000004134	Gstm5__chr3
ENSMUST00000004136	Gstm3__chr3
ENSMUST00000004137	Gstm7__chr3
ENSMUST00000004140	Gstm1__chr3
ENSMUST00000004143	Stat5b__chr11
ENSMUST00000004145	Stat5a__chr11
ENSMUST00000004156	Map3k11__chr19
ENSMUST00000004172	Hmox2__chr16
ENSMUST00000004173	Cdip1__chr16
ENSMUST00000004200	Cwc15__chr9
ENSMUST00000004201	Col5a3__chr9
ENSMUST00000004202	Dnmt1__chr9
ENSMUST00000004203	Ppan__chr9
ENSMUST00000004206	Eif3g__chr9
ENSMUST00000004208	Angptl2__chr2
ENSMUST00000004214	Cacna1e__chr1
ENSMUST00000004222	Hira__chr16
ENSMUST00000004232	Adh1__chr3
ENSMUST00000004281	Dyrk2__chr10
ENSMUST00000004294	Kifc2__chr15
ENSMUST00000004316	Psap__chr10
ENSMUST00000004326	Plxna3__chrX
ENSMUST00000004327	G6pdx__chrX
ENSMUST00000004330	Ikbkg__chrX
ENSMUST00000004340	Pax2__chr19
ENSMUST00000004343	Wars2__chr3
ENSMUST00000004375	Phb2__chr6
ENSMUST00000004377	Ptpn6__chr6
ENSMUST00000004378	Eno2__chr6
ENSMUST00000004379	Emg1__chr6
ENSMUST00000004381	Lpcat3__chr6
ENSMUST00000004389	Grcc10__chr6
ENSMUST00000004392	Irf5__chr6
ENSMUST00000004396	Atp6v1f__chr6
ENSMUST00000004428	Clcn5__chrX
ENSMUST00000004430	Clcn3__chr8
ENSMUST00000004453	Gpx6__chr13
ENSMUST00000004456	Gpx5__chr13
ENSMUST00000004470	Utp20__chr10
ENSMUST00000004473	Spic__chr10
ENSMUST00000004480	Sst__chr16
ENSMUST00000004494	Sin3b__chr8
ENSMUST00000004497	Large__chr8
ENSMUST00000004505	Npc1l1__chr11
ENSMUST00000004507	Ddx56__chr11
ENSMUST00000004508	Tmed4__chr11
ENSMUST00000004554	Rps5__chr7
ENSMUST00000004560	Bid__chr6
ENSMUST00000004565	Ralb__chr1
ENSMUST00000004574	Dnajb11__chr16
ENSMUST00000004576	Tbccd1__chr16
ENSMUST00000004587	Clec11a__chr7
ENSMUST00000004614	Zfp110__chr7
ENSMUST00000004622	Gab2__chr7
ENSMUST00000004634	Slc1a4__chr11
ENSMUST00000004646	Coro1c__chr5
ENSMUST00000004655	Psg17__chr7
ENSMUST00000004657	Psg19__chr7
ENSMUST00000004673	Ndrg2__chr14
ENSMUST00000004681	Pnpla6__chr8
ENSMUST00000004683	Mcoln1__chr8
ENSMUST00000004684	Arhgef18__chr8
ENSMUST00000004686	Pex11g__chr8
ENSMUST00000004715	Mospd2__chrX
ENSMUST00000004728	Cd33__chr7
ENSMUST00000004729	Etfb__chr7
ENSMUST00000004732	Lim2__chr7
ENSMUST00000004745	Stxbp2__chr8
ENSMUST00000004749	Pcp2__chr8
ENSMUST00000004750	Sgce__chr6
ENSMUST00000004756	Wwox__chr8
ENSMUST00000004761	Nrf1__chr6
ENSMUST00000004770	Tyr__chr7
